text,label
"Просто слухайте цей діалог. Ні, це не нарізка і фільм Тарантіно.",True
️ Рубль став найнестабільнішою валютою у всьому світі,True
Перше звернення мера Мелітополя Івана Федорова після звільнення,True
"Росія загрожує Боснії ""українським сценарієм"" через її можливе вступ до НАТО.",True
"Енергоатом повідомив, що окупанти пошкодили високовольтну лінію електропередач Запорізька АЕС — Каховська.",True
Макрон закликає готуватися до великої війни у ​​Європі:,True
"Байден має намір заявити Сі Цзіньпіну, що США вживуть заходів, якщо з'ясується, що Китай підтримує дії Росії в Україні",True
Урядові літаки РФ здійснили незвичайні рейси з Москви до Сибіру,True
"У Києві обстріляно житловий квартал у Подільському районі, — КМДА",True
У США запропонували заблокувати російських користувачів на криптобіржах,True
Володимир Зеленський записав нове звернення:,True
У Запоріжжі встановили могильну пам'ятку путіну.,True
Нормальна російська жінка Тамара прокинулася в холодному поті та…,True
Так виглядає Маріуполь після багатоденного обстрілу,True
Зеленський підписав закон про продовження терміну дії військового стану в Україні на 30 діб із 26 березня.,True
"Гордон відреагував на порушення проти нього кримінальної справи в Росії і заявив, що Гаага чекає на Путіна і що президент Росії є військовим злочинцем.",True
"Глава дипломатії ЄС про фінал війни РФ проти України: все вирішиться у найближчі 15 днів, а те, що роблять українці – увійде в історію",True
Російські ЗМІ повідомляють про смерть Жириновського.,True
Шойгу має інфаркт. Тому він не з'являється на офіційних заходах із середини березня.,True
"Схоже, росія дає знати Польщі, що їхні ракети можуть долетіти і до Байдена, що за 80 км від кордону з Україною. Американці обіцяють, що мова Байдена у Варшаві буде історичною.",True
"П'яне чмо в Москві пристало до українців і спробувало розповісти, що він зробить з їхніми дітьми.",True
Арестович також відреагував на заяви з боку РФ про обстріл нафтобази у Білгороді українською авіацією,True
"Лукашенко заявив, що Білорусь провела в Україні ""спецоперацію"" зі звільнення білоруських громадян",True
"За крейсером Москва. Інформація про те, чи потонув він",True
"Чоловіків призовного віку залучатимуть до відновлення міст. Вони не підлягатимуть мобілізації, -",True
"Російським військовим не вдалося евакуювати екіпаж крейсера ""Москва"", що затонув.",True
Херсон24 оккупанти запустили пропагандистський канал у Херсонській області.,True
Окупаційна влада так званих «ЛНР» та «ДНР» мобілізує,True
"За словами Арестовича, якщо загинуть захисники Маріуполя, то Україна, як і сказав Зеленський, вийде з переговорів із Росією",True
"️Народний депутат Княжицький повідомив, що внаслідок обстрілів у Львові є загиблі та поранені",True
Затриманий СБУ нардеп Віктор Медведчук звернувся до Президента України Володимира Зеленського та Президента РФ Володимира Путіна з пропозицією обміняти його на захисників та мешканців Маріуполя,True
Нові поставки техніки на озброєння ЗСУ від рішки,True
"Потужно засунув. Лаконічно, головне. Ну як завжди",True
Свіжі заяви Арестовича щодо ситуації на Сході України,True
На відновлення Ірпеня знадобиться близько $1 млрд.,True
Росія за добу 21 раз обстріляла Донецьку область: є загиблі та поранені,True
"Президент США Джо Байден заявив, що Штати направлятимуть більше артилерійських озброєнь Україні, - Reuters",True
Програма TikTok стала недоступною для завантаження в російському App Store,True
Артилерія ЗСУ розчищає поля від ворожої техніки,True
"«Росія передала Україні проект документа з чіткими формулюваннями і чекає на відповідь, м'яч на стороні Києва, заявив Пєсков.",True
Сьогодні в Єльську (Білорусь) відбувалося навантаження техніки на ешелони біля залізничного вокзалу,True
Артилерія ЗСУ розчищає поля від ворожої техніки,True
Мер Миколаєва підтверджує вибухи у місті та просить перебувати у безпечному місці.,True
"Японія офіційно скасувала торговий статус Росії ""найбільшого сприяння"" через вторгнення в Україну.",True
"Околиці селища Мангуш, де відбуваються масові поховання маріупольців, убитих російською армією",True
"Справжнє обличчя російського солдата1995 рік, Чечня",True
"Україна зараз має більше танків, ніж Росія",True
"У Росії все настільки погано, що голова держради анексованого Криму просить людей скинутися на новий крейсер",True
Зловили і по черзі покарали мародерку Відео повністю -,True
️Президент Зеленський створив Нацраду з відновлення України після війни,True
Інвестори йдуть з Росії Більше 75% іноземних компаній згорнули свою діяльність у Росії,True
"Понад 594 дітей постраждали внаслідок повномасштабної агресії Росії в Україні,",True
Світовий банк оцінив збитки інфраструктурі України в $60 млрд - президент СБ Девід Малпас,True
Американський Інститут вивчення війни опублікував актуальну карту бойових дій в Україні,True
"Німеччина виділяє Україні екстрену допомогу у розмірі 37 млн ​​євро, - міністр економічного розвитку Свенья Шульце газеті Augsburger Allgemeine",True
"Німеччина не може передати на прохання України важке озброєння, яким користується Бундесвер через загрозу російській агресії проти НАТО канцлер Олаф Шольц в інтерв'ю Spiegel",True
"Терорист і колишній ФСБшник Ігор Стрєлков-Гіркін підтвердив повідомлення, що з'являлися раніше, що на території так званих",True
Окупанти зруйнували майже 3 тисячі пам'ятників на цвинтарі Яцеве у Чернігові.,True
"Британія не даватиме Україні гарантії безпеки, аналогічні 5-й статті статуту НАТО, - Борис Джонсон",True
"Держприкордонслужба повідомляє, що на в'їзд в Україну з боку Польщі утворилася черга",True
"Телеканал «Україна24» повідомляє, що хакери зламали ефір національного телемарафону. У рядку, що біжить, з'являється повідомлення:",True
Переговори щодо гарантій безпеки для України з країнами-партнерами завершаться протягом тижня.,True
"️Контрнаступ ЗСУ на Маріуполь буде 101%, - Арестович",True
"Важливий виступ Президента: ""Мрія рашиста - вкрасти унітаз і померти""",True
"Росія могла використовувати в Маріуполі сльозогінний газ, змішаний із хімічними речовинами",True
️Прогноз по війні та ядерній атаці від Американського Інституту вивчення війни на найближчий час:,True
Просто та доступно про безглуздість тактичної ядерної зброї у війні рашистів з Україною від фізика-ядерника.,True
Прикордонна служба України заявила про обстріл Чернігівської області з боку Росії,True
У Києві під час повітряної тривоги зупинятимуть рух поїздів метро.,True
Одеські ЗМІ пишуть про не менше трьох загиблих внаслідок сьогоднішнього удару по місту.,True
Завтра в Україну приїдуть держсек США Блінкен і міністр оборони США.,True
"В Україні скоротять кількість пунктів пропуску, через які можна безкоштовно ввозити машини з ЄС.",True
"Зеленський: «Хоч би війна закінчилася, гарантії безпеки нам потрібні, ми на цьому наполягатимемо і впевнені, що отримаємо результат».",True
"Журналістка розплакалася на словах президента про те, що багато українців втратили дітей.",True
"Голова РНБО Данилов порадив нардепам ""ОПЗЖ"" піти з Верховної ради, бо наші війська ""винесуть їх уперед ногами і не факт, що живими""",True
Штат Західна Вірджинія відправить в Україну бронетранспортери M-113.,True
"Бойова активність окупантів, ймовірно, знижується, - британська розвідка.",True
Максим Галкін відреагував на вбивство 3-місячної дитини в Одесі.,True
"Українці масово відмовляються від «допомоги» ворогів на тимчасово окупованих територіях, -",True
Німеччина передасть сотню важких тягачів MAN HX81 для сил оборони України,True
"Через два-три тижні закінчиться наступ. А разом з ним, цілком можливо, закінчиться і активна фаза війни, тому що російським військам більше нема чим наступати",True
Мітинг на підтримку України у Нью-Йорку. Учасники акції скандують «Азов»,True
Британія планує передати Україні 45 тис артилерійських снарядів та 20 самохідних артилерійських установок AS-90.,True
Київ та Гамбург стали стратегічними партнерами та домовилися про підтримку у кризові часи,True
Наші герої: Більше 80% поранених українських військових після лікування повертаються до ладу,True
Зі США до Польщі прибули не менше шести американських важких транспортних літаків,True
З'явилися і дані французьких exit-pools. Усі віддають перемогу Макрону:,True
ВСУ відновили контроль над 5 населеними пунктами Миколаївської області.,True
"У російському місті Брянськ, що знаходиться поряд із кордоном України, загорілася вночі нафтобаза",True
Вночі окупанти обстріляли із систем залпового вогню Новолатовську громаду Дніпропетровської області.,True
"Вся Луганська область залишилася без світла через те, що військовослужбовці РФ знеструмили нову Кремінську підстанцію з напругою 500 кВ.",True
Російські окупанти цинічно розстрілюють школярів та людей похилого віку на півдні України,True
"У Росії заявили, що з Україною «йдуть інтенсивні переговори у відеорежимі», але про зустріч глав МЗС Лаврова та Кулеби поки що не йдеться. За словами заступника глави МЗС РФ",True
Фінляндія уповільнює процес подання заявки на вступ до НАТО,True
️Між Сумами та Києвом відновлюється залізничне сполучення.,True
"️Отакої. ""Солдат армії РФ з Криму, якому дзвонила дружина з дому та обговорювала, що ґвалтуючи українок, треба оберігатися - взято в полон ЗСУ під Ізюмом"", -",True
"від навантаження тг кладе, якщо зависне публікуватимемо інфу в нашому Instagram",True
️Швеція передасть ЗСУ партію САУ FH77 BW Archer,True
Найбільший європейський лоукостер Ryanair розраховує відновити польоти з України восени,True
Британська розвідка щодо ситуації в Україні на 62-й день війни:,True
Росіяни можуть планувати провокаційні вибухи на греблі Карлівського водосховища Донецької області,True
"Так звана Рада безпеки Придністров'я повідомила про три «терористичні атаки» Нападу зазнали будівля МДБ, військова частина в селі Паркани та вишки радіотелецентру.",True
"У Німеччині на авіабазі ""Ramstein"" стартувало засідання з питань оборони України",True
У Великій Британії вважають законним право України завдавати ударів по території РФ.,True
У чотирьох прикордонних районах Сумської області цивільним особам на час воєнного стану заборонено носити військову форму,True
Німеччина поставить Україні зенітні самохідні установки Gepard,True
"️МВФ створив спеціальний адмінрахунок, через який Україна отримуватиме $5 млрд",True
У Херсоні військові Росії представили своїх голів міськради та облдержадміністрації.,True
Янукович у лютому таємно повертався до України,True
У Росії посилюють риторику щодо України - цього разу говорячи про перспективи розпаду на кілька держав.,True
"«Путін має зазнати поразки в Україні», – міністр оборони Великобританії Бен Уоллес.",True
Росія зупинила постачання газу до Польщі.,True
"Глава Міноборони США та шеф Пентагону Ллойд Остін заявив, що «США не хочуть розширення українського конфлікту на Молдову, продовжують вивчати повідомлення про інциденти у Придністров'ї».",True
"Американські дипломати вперше з початку війни повернулися до Львова, куди раніше і перебазувалося посольство США,",True
"Офіс Генсека ООН Антоніу Гутерріша повідомляє, що сьогоднішня зустріч Гутерріша з Путіним вже завершилася - вона тривала близько години, а частина її пройшла у форматі ""віч-на-віч""",True
Вицвіли кольори прапора на фасаді військкомату в Уфі,True
"️На Херсонському напрямку ЗСУ повернули повний контроль над 3 селами на захід від Снігурівки: Широке, Любине та Новопетрівка",True
У НАТО також прокоментували ситуацію у Придністров'ї,True
"️Держсекретар Ентоні Блінкен заявив: ""Росія зазнала невдачі у своїй місії з ліквідації суверенітету України"".",True
”Міністри оборони понад 40 країн завершили зустріч на базі ВПС США в Рамштайні,True
CNN з посиланням на джерело: Пентагон організував у Німеччині центр з координації постачання військової допомоги Україні.,True
"Так, добре. Тепер ще й пташиний грип.",True
Австралія направить в Україну шість гаубиць,True
"Влада Києва просить городян не відвідувати цвинтарі у поминальну неділю, яка цього року припадає на 1 травня.",True
Сьогоднішня мапа бойових дій в Україні від Міноборони Британії.,True
"Путін виступає в Раді законодавців Розповідає про те, звідки на Росію готувався напад",True
Серія заяв від Путіна щодо України та геополітичної ситуації у світі.,True
"Путін: в Україні застосовувалася практика вбивств журналістів прямо на вулицях, а тепер цю практику вирішили перенести до Росії",True
Орки прагнуть захопити два населені пункти в Харківській області,True
Збірна України з хокею у своєму першому матчі на чемпіонаті світу-2022 здобула розгромну перемогу над командою Сербії з рахунком 7:0.,True
"Орки стратили українців біля Донецька, які намагалися здатися в полон.",True
"Повернення Херсонської області під контроль України виключено, заявив гауляйтер військово-цивільної адміністрації Кирило Стремоусов.",True
"У США показали, як вантажать 155-мм гаубиці для України",True
Міноборони Великобританії публікує щоденне зведення про події в Україні,True
️Держава планує надати майже 600 000 квартир для забезпечення переселенців житлом,True
"У невизнаному Придністров'ї оголосили військові збори, повідомляє ГУР МО.",True
"️Сьогодні в Якимівці під Мелітополем підірвали залізничний міст, яким окупанти доставляли зброю та паливо з Криму, — ЗМІ",True
"Можливість проведення у Херсонській області референдуму чи створення ""народної республіки"" не обговорюється.",True
Парламент Канади одноголосно визнав дії Росії в Україні геноцидом.,True
"Відбулася самоліквідація залізничного мосту в Якимівці Мелітопольського району, - речник Одеської ОВА Братчук",True
Міністерство оборони Великобританії оприлюднює нову карту бойових дій на території України.,True
"У так званому ""ДНР"" скасували парад Перемоги та ходу Безсмертного полку 9 травня через загрозу обстрілу",True
Низка дивних пожеж у Росії триває,True
На узбережжі Чорного моря з'являються мертві дельфіни.,True
У Ростові-на-Дону відремонтують бомбосховище на 300 місць,True
"Ердоган: Туреччина розраховує, що в Україні найближчим часом встановиться світ.",True
Важливі заяви Генсека НАТО Єнса Столтенберга на прес-конференції.,True
"️Президент футбольного клубу ""Інгулець"", знаменитий своєю самобутньою поведінкою та висловлюваннями, дав придатний прогноз про долю рашистких окупантів, що окопалися у Херсоні.",True
"Віце-прем'єр Ірина Верещук повідомляє про новий обмін полоненими. За її даними, сьогодні звільнили 45 українців: 13 офіцерів, 20 солдатів та 12 цивільних.",True
"️ВСУ повернули контроль над селищем Кутузівка ​​в Харківській області,",True
Генсек ООН Антоніу Гутеріш розкритикував Раду безпеки своєї організації за нездатність впоратися з війною в Україні:,True
Що Україна може отримати в результаті ленд-лізу і допомоги в $20 млрд:,True
Байден запросив ще 16 мільярдів доларів для України:,True
"Зброя високої дальності матиме вирішальне значення на наступному етапі війни, заявив глава Пентагону.",True
️МІД Ізраїлю закликав своїх громадян негайно залишити Придністров'я,True
В окупованому Донецьку палає нафтобаза.,True
ФСБ навіщось опублікувала подробиці самогубства Гітлера у бункері.,True
"Польща передала Україні 200 танків T-72, що дозволить оснастити дві танкові бригади.",True
